<img src="L10-001.svg"><br>Có, ở (tồn tại đồ vật)	あります<br>あります<br>arimasu<br>Có, ở (tồn tại đồ vật)<br>はこがあります。<br>Có cái hộp.	Lesson10
<img src="L10-002.svg"><br>Có, ở (tồn tại người và động vật)	います<br>います<br>imasu<br>Có, ở (tồn tại người và động vật)<br>いぬがいます。<br>Có con chó.	Lesson10
<img src="L10-003.svg"><br>Nhiều, đa dạng	色々<br>いろいろ[な]<br>iroiro na<br>Nhiều, đa dạng<br>いろいろなものがあります。<br>Có nhiều đồ vật.	Lesson10
<img src="L10-004.svg"><br>Người đàn ông	男の人<br>おとこのひと<br>otoko no hito<br>Người đàn ông<br>おとこのひとがいます。<br>Có người đàn ông.	Lesson10
<img src="L10-005.svg"><br>Người đàn bà, phụ nữ	女の人<br>おんなのひと<br>onna no hito<br>Người đàn bà, phụ nữ<br>おんなのひとがいます。<br>Có người phụ nữ.	Lesson10
<img src="L10-006.svg"><br>Cậu con trai, cậu bé	男の子<br>おとこのこ<br>otoko no ko<br>Cậu con trai, cậu bé<br>おとこのこがいます。<br>Có cậu bé.	Lesson10
<img src="L10-007.svg"><br>Cô con gái, cô bé	女の子<br>おんなのこ<br>onna no ko<br>Cô con gái, cô bé<br>おんなのこがいます。<br>Có cô bé.	Lesson10
<img src="L10-008.svg"><br>Chó	犬<br>いぬ<br>inu<br>Chó<br>いぬがいます。<br>Có con chó.	Lesson10
<img src="L10-009.svg"><br>Mèo	猫<br>ねこ<br>neko<br>Mèo<br>ねこがいます。<br>Có con mèo.	Lesson10
<img src="L10-010.svg"><br>Gấu trúc	パンダ<br>パンダ<br>panda<br>Gấu trúc<br>パンダがいます。<br>Có gấu trúc.	Lesson10
<img src="L10-011.svg"><br>Voi	象<br>ぞう<br>zou<br>Voi<br>ぞうがいます。<br>Có con voi.	Lesson10
<img src="L10-012.svg"><br>Cây, gỗ	木<br>き<br>ki<br>Cây, gỗ<br>きがあります。<br>Có cái cây.	Lesson10
<img src="L10-013.svg"><br>Vật, đồ vật	物<br>もの<br>mono<br>Vật, đồ vật<br>いろいろなものがあります。<br>Có nhiều đồ vật.	Lesson10
<img src="L10-014.svg"><br>Pin	電池<br>でんち<br>denchi<br>Pin<br>でんちがあります。<br>Có cục pin.	Lesson10
<img src="L10-015.svg"><br>Hộp	箱<br>はこ<br>hako<br>Hộp<br>はこがあります。<br>Có cái hộp.	Lesson10
<img src="L10-016.svg"><br>Công tắc	スイッチ<br>スイッチ<br>suicchi<br>Công tắc<br>スイッチがあります。<br>Có công tắc.	Lesson10
<img src="L10-017.svg"><br>Tủ lạnh	冷蔵庫<br>れいぞうこ<br>reizouko<br>Tủ lạnh<br>れいぞうこがあります。<br>Có tủ lạnh.	Lesson10
<img src="L10-018.svg"><br>Bàn	テーブル<br>テーブル<br>teeburu<br>Bàn<br>テーブルがあります。<br>Có cái bàn.	Lesson10
<img src="L10-019.svg"><br>Giường	ベッド<br>ベッド<br>beddo<br>Giường<br>ベッドがあります。<br>Có cái giường.	Lesson10
<img src="L10-020.svg"><br>Giá kệ	棚<br>たな<br>tana<br>Giá kệ<br>たながあります。<br>Có cái kệ.	Lesson10
<img src="L10-021.svg"><br>Cửa	ドア<br>ドア<br>doa<br>Cửa<br>ドアがあります。<br>Có cái cửa.	Lesson10
<img src="L10-022.svg"><br>Cửa sổ	窓<br>まど<br>mado<br>Cửa sổ<br>まどがあります。<br>Có cửa sổ.	Lesson10
<img src="L10-023.svg"><br>Hộp thư, hòm thư	ポスト<br>ポスト<br>posuto<br>Hộp thư, hòm thư<br>ポストがあります。<br>Có hòm thư.	Lesson10
<img src="L10-024.svg"><br>Tòa nhà	ビル<br>ビル<br>biru<br>Tòa nhà<br>ビルがあります。<br>Có tòa nhà.	Lesson10
<img src="L10-025.svg"><br>Máy rút tiền tự động	ATM<br>ATM<br>ATM<br>Máy rút tiền tự động<br>ATMがあります。<br>Có máy ATM.	Lesson10
<img src="L10-026.svg"><br>Cửa hàng tiện lợi	コンビニ<br>コンビニ<br>konbini<br>Cửa hàng tiện lợi<br>コンビニがあります。<br>Có cửa hàng tiện lợi.	Lesson10
<img src="L10-027.svg"><br>Công viên	公園<br>こうえん<br>kouen<br>Công viên<br>こうえんがあります。<br>Có công viên.	Lesson10
<img src="L10-028.svg"><br>Quán giải khát, quán cafe	喫茶店<br>きっさてん<br>kissaten<br>Quán giải khát, quán cafe<br>きっさてんがあります。<br>Có quán cafe.	Lesson10
<img src="L10-029.svg"><br>Hiệu ~, cửa hàng ~	〜屋<br>〜や<br>ya<br>Hiệu ~, cửa hàng ~<br>パンやがあります。<br>Có tiệm bánh mì.	Lesson10
<img src="L10-030.svg"><br>Bến xe, điểm lên xuống xe	乗り場<br>のりば<br>noriba<br>Bến xe, điểm lên xuống xe<br>バスのりばがあります。<br>Có bến xe buýt.	Lesson10
<img src="L10-031.svg"><br>Tỉnh	県<br>けん<br>ken<br>Tỉnh<br>やまなしけんです。<br>Là tỉnh Yamanashi.	Lesson10
<img src="L10-032.svg"><br>Trên	上<br>うえ<br>ue<br>Trên<br>はこのうえにあります。<br>Ở trên cái hộp.	Lesson10
<img src="L10-033.svg"><br>Dưới	下<br>した<br>shita<br>Dưới<br>ベッドのしたにあります。<br>Ở dưới giường.	Lesson10
<img src="L10-034.svg"><br>Trước	前<br>まえ<br>mae<br>Trước<br>えきのまえにあります。<br>Ở trước nhà ga.	Lesson10
<img src="L10-035.svg"><br>Sau	後ろ<br>うしろ<br>ushiro<br>Sau<br>ビルのうしろにあります。<br>Ở sau tòa nhà.	Lesson10
<img src="L10-036.svg"><br>Phải	右<br>みぎ<br>migi<br>Phải<br>みぎにあります。<br>Ở bên phải.	Lesson10
<img src="L10-037.svg"><br>Trái	左<br>ひだり<br>hidari<br>Trái<br>ひだりにあります。<br>Ở bên trái.	Lesson10
<img src="L10-038.svg"><br>Trong, giữa	中<br>なか<br>naka<br>Trong, giữa<br>はこのなかにあります。<br>Ở trong cái hộp.	Lesson10
<img src="L10-039.svg"><br>Ngoài	外<br>そと<br>soto<br>Ngoài<br>はこのそとにあります。<br>Ở ngoài cái hộp.	Lesson10
<img src="L10-040.svg"><br>Bên cạnh	隣<br>となり<br>tonari<br>Bên cạnh<br>コンビニのとなりにあります。<br>Ở bên cạnh cửa hàng tiện lợi.	Lesson10
<img src="L10-041.svg"><br>Gần	近く<br>ちかく<br>chikaku<br>Gần<br>えきのちかくにあります。<br>Ở gần nhà ga.	Lesson10
<img src="L10-042.svg"><br>Giữa	間<br>あいだ<br>aida<br>Giữa<br>ビルとコンビニのあいだにあります。<br>Ở giữa tòa nhà và cửa hàng tiện lợi.	Lesson10
<img src="L10-043.svg"><br>Và ~, v.v.	〜や〜[など]<br>〜や〜[など]<br>ya nado<br>Và ~, v.v.<br>つくえのうえにほんやペンなどがあります。<br>Trên bàn có sách, bút, v.v.	Lesson10
<img src="L10-044.svg"><br>Cảm ơn / Xin lỗi	[どうも]すみません。<br>[どうも]すみません。<br>doumo sumimasen<br>Cảm ơn / Xin lỗi<br>どうもすみません。<br>Cảm ơn rất nhiều / Xin lỗi.	Lesson10
<img src="L10-045.svg"><br>Tên một đồ chấm của Thái Lan	ナンプラー<br>ナンプラー<br>nanpuraa<br>Tên một đồ chấm của Thái Lan<br>ナンプラーがあります。<br>Có nước mắm Thái.	Lesson10
<img src="L10-046.svg"><br>Góc	コーナー<br>コーナー<br>koonaa<br>Góc<br>コーナーにあります。<br>Ở góc.	Lesson10
<img src="L10-047.svg"><br>Thấp nhất, phía dưới cùng	一番下<br>いちばん した<br>ichiban shita<br>Thấp nhất, phía dưới cùng<br>いちばんしたにあります。<br>Ở phía dưới cùng.	Lesson10
<img src="L10-048.svg"><br>Công viên Tokyo Disneyland	東京ディズニーランド<br>とうきょうディズニーランド<br>toukyou dizuniirando<br>Công viên Tokyo Disneyland<br>とうきょうディズニーランドがあります。<br>Có công viên Tokyo Disneyland.	Lesson10
<img src="L10-049.svg"><br>Tên một siêu thị (giả tưởng)	アジアストア<br>アジアストア<br>ajia sutoa<br>Tên một siêu thị (giả tưởng)<br>アジアストアがあります。<br>Có Asia Store.	Lesson10
